Material,Time,value
PVC,2019,0.2
PVC,2020,0.2
PVC,2021,0.21333333333333335
PVC,2022,0.22666666666666668
PVC,2023,0.24
PVC,2024,0.25333333333333335
PVC,2025,0.26666666666666666
PVC,2026,0.28
PVC,2027,0.29333333333333333
PVC,2028,0.30666666666666664
PVC,2029,0.32
PVC,2030,0.33333333333333337
PVC,2031,0.3466666666666667
PVC,2032,0.36
PVC,2033,0.3733333333333333
PVC,2034,0.38666666666666666
PVC,2035,0.4
PVC,2036,0.41333333333333333
PVC,2037,0.42666666666666664
PVC,2038,0.44
PVC,2039,0.4533333333333333
PVC,2040,0.4666666666666667
PVC,2041,0.48
PVC,2042,0.49333333333333335
PVC,2043,0.5066666666666666
PVC,2044,0.52
PVC,2045,0.5333333333333333
PVC,2046,0.5466666666666666
PVC,2047,0.56
PVC,2048,0.5733333333333333
PVC,2049,0.5866666666666667
PVC,2050,0.6
PVC,2051,0.6
PVC,2052,0.6
PVC,2053,0.6
PVC,2054,0.6
PVC,2055,0.6
PVC,2056,0.6
PVC,2057,0.6
PVC,2058,0.6
PVC,2059,0.6
PVC,2060,0.6
PVC,2061,0.6
PVC,2062,0.6
PVC,2063,0.6
PVC,2064,0.6
PVC,2065,0.6
PVC,2066,0.6
PVC,2067,0.6
PVC,2068,0.6
PVC,2069,0.6
PVC,2070,0.6
PVC,2071,0.6
PVC,2072,0.6
PVC,2073,0.6
PVC,2074,0.6
PVC,2075,0.6
PVC,2076,0.6
PVC,2077,0.6
PVC,2078,0.6
PVC,2079,0.6
PVC,2080,0.6
PVC,2081,0.6
PVC,2082,0.6
PVC,2083,0.6
PVC,2084,0.6
PVC,2085,0.6
PVC,2086,0.6
PVC,2087,0.6
PVC,2088,0.6
PVC,2089,0.6
PVC,2090,0.6
PVC,2091,0.6
PVC,2092,0.6
PVC,2093,0.6
PVC,2094,0.6
PVC,2095,0.6
PVC,2096,0.6
PVC,2097,0.6
PVC,2098,0.6
PVC,2099,0.6
PVC,2100,0.6
